,chembl_id,standardized_smiles,wd_consensus_1,wd_chembl,wd_withdrawn,wd_drugbank,atc_code,name
2064,CHEMBL146095,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,1,1.0,1.0,None,N02BG03,GLAFENINE
2065,CHEMBL1507567,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C,0,None,None,0,"A07EA03, H02AB07",CHEMBL1507567
2066,CHEMBL1506,CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,0,0.0,None,0,"D06AX02, D10AF03, G01AA05, J01BA01, S01AA01, S02AA01, S03AA08",CHLORAMPHENICOL PALMITATE
2067,CHEMBL16476,CC(C)NCC(O)c1ccc2ccccc2c1,1,1.0,1.0,None,None,PRONETALOL
2068,CHEMBL1909285,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,1,1.0,1.0,None,None,NITREFAZOLE
2069,CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0,0.0,None,0,C09CA04,IRBESARTAN
2070,CHEMBL1489,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0,0.0,None,0,L01BC07,AZACITIDINE
2071,CHEMBL1537,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,0,0.0,None,0,J01CA09,AZLOCILLIN
2072,CHEMBL1541,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,0,0.0,None,0,J01DD08,CEFIXIME
2073,CHEMBL154111,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0,0.0,None,0,N02BA06,SALSALATE
2074,CHEMBL1418176,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,1,1.0,1.0,None,"A14AA03, D11AE01",METHANDROSTENOLONE
2075,CHEMBL1543,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,0,None,None,0,V03AB32,GLUTATHIONE
2076,CHEMBL1544,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0,0.0,None,0,None,LIOTHYRONINE
2077,CHEMBL2104149,CCC(=O)n1c(=O)n(C2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c2ccccc21,1,None,1.0,1,N02AC05,BEZITRAMIDE
2078,CHEMBL1476782,COc1ccc(C=CC(=O)OCCC(C)C)cc1,0,None,None,0,None,AMILOXATE
2079,CHEMBL1546,CC(N)Cc1ccc(O)cc1,0,0.0,None,0,None,HYDROXYAMPHETAMINE
2080,CHEMBL1549,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC1CCCC1,0,0.0,None,0,"A01AC03, A07EA02, C05AA01, D07AA02, D07XA01, H02AB09, S01BA02, S01CB03, S02BA01",HYDROCORTISONE CYPIONATE
2081,CHEMBL1521,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0.0,None,0,N05CF03,ZALEPLON
2082,CHEMBL1550,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,0,0.0,None,0,B02BA01,PHYTONADIONE
2083,CHEMBL2104489,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CCCCC4(C)C3CCC21C,1,1.0,1.0,None,None,ANAGESTONE ACETATE
2084,CHEMBL1475,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,0,0.0,None,0,"D05AD01, D05BA01",TRIOXSALEN
2085,CHEMBL1473,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,0.0,None,0,"D07AC17, R01AD08, R03BA05, R01AD58",FLUTICASONE PROPIONATE
2086,CHEMBL1472,NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,0,0.0,None,0,V04CJ02,PROTIRELIN
2087,CHEMBL1554,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,0,0.0,None,0,L01DA01,DACTINOMYCIN
2088,CHEMBL1471,CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,0.0,None,0,A04AD12,APREPITANT
2089,CHEMBL201960,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,1,1.0,1.0,None,None,PYROVALERONE
2090,CHEMBL1478530,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,0,None,None,0,None,CHEMBL1478530
2091,CHEMBL1520,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,0,0.0,None,0,G04BE09,VARDENAFIL
2092,CHEMBL1539,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0,0.0,None,0,None,SULFADOXINE
2093,CHEMBL1488,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,0,0.0,None,0,L01AD08,URACIL MUSTARD
2094,CHEMBL1519,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,0,0.0,None,0,C09AA10,TRANDOLAPRIL
2095,CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,0.0,None,0,C08CA04,NICARDIPINE
2096,CHEMBL1483,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,0,0.0,None,0,P02CA03,ALBENDAZOLE
2097,CHEMBL1538,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,0,0.0,None,0,J05AF07,TENOFOVIR DISOPROXIL
2098,CHEMBL1482,CC(C[N+](C)(C)C)OC(N)=O,0,0.0,None,0,N07AB02,BETHANECHOL
2099,CHEMBL1479,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0,0.0,None,0,G03XA01,DANAZOL
2100,CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,0,0.0,None,0,A10BB12,GLIMEPIRIDE
2101,CHEMBL152,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,0,0.0,None,0,J05AB12,CIDOFOVIR
2102,CHEMBL154,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0,0.0,None,0,"G02CC02, M01AE02, M02AA12",NAPROXEN
2103,CHEMBL1540,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,0,0.0,None,0,"D06BB06, J05AB13",PENCICLOVIR
2104,CHEMBL1480987,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,0,0.0,None,0,C04AX01,CYCLANDELATE
2105,CHEMBL1474963,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,1,1.0,1.0,None,None,BENZARONE
2106,CHEMBL1480,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0,0.0,None,0,C08CA02,FELODIPINE
2107,CHEMBL1998966,CC(=NO)c1ccc(OCC(=O)N2CCCCC2)cc1,1,1.0,1.0,None,None,PIFOXIME
